    63     23           0      1  2  1 
  0.0000000e+00   0.0000000e+00	  0.0000000e+00   0.0000000e+00	
  6.6152383e+00   0.0000000e+00	  0.0000000e+00   0.0000000e+00	
  4.4601207e+00  -5.9065866e+00	  0.0000000e+00   0.0000000e+00	
 -1.8007240e+00   0.0000000e+00	 -1.8995491e+00   0.0000000e+00	
  2.4428210e+00  -1.7191524e+00	 -3.8533004e+00  -1.2832337e+00	
  1.2952955e+00  -4.9461227e+00	 -3.7908121e-02  -1.7559678e+00	
 -1.0082554e+00   0.0000000e+00	  6.0975801e-01   0.0000000e+00	
 -5.2264648e-01   1.5404006e+00	 -1.2124215e+00   6.4859176e-01	
 -1.2394753e+00   1.1794487e+00	 -1.1179191e+00  -9.5144024e-01	
  1.4707980e+00  -1.1688309e+00	  5.1789965e-01  -1.2552856e+00	
  2.5278676e-01   0.0000000e+00	  1.4456206e+00   0.0000000e+00	
  1.3539277e+00   2.4583470e-01	 -2.1795866e-01  -4.8427858e-01	
  9.0375052e-01   9.2073597e-01	  1.8195837e-01   2.9387022e-01	
 -1.9544289e+00  -7.1407274e-02	  2.4512386e-01  -1.3539062e+00	
 -2.8415596e-01   2.8329495e+00	  2.9780247e-01  -3.4513438e-01	
 -1.1182712e+00   0.0000000e+00	 -6.8421231e-02   0.0000000e+00	
 -6.9864496e-02  -3.2376511e-01	  1.3826840e+00   6.6896275e-02	
  8.0183305e-01  -2.8575034e-01	 -7.1793686e-01  -3.7275351e-01	
  1.3323156e+00  -7.2498355e-01	  2.3471611e-01   1.5764968e+00	
 -2.2405307e-01  -1.7258676e+00	  1.1160167e-01   5.4315438e-02	
 -1.7104012e+00   1.4276683e-01	 -5.3545303e-01   8.5331710e-01	
  2.5055648e-01   0.0000000e+00	 -6.7461406e-01   0.0000000e+00	
 -2.1829934e-01   6.7478365e-01	 -2.6746565e-01   9.3957589e-02	
 -1.2758859e-01  -4.9763007e-02	 -3.1662244e-02  -1.2680493e-01	
  2.0991472e-02  -5.8787736e-02	 -5.8174305e-02  -4.6124493e-01	
  1.7356547e-01  -7.3866517e-02	 -8.9209996e-02   6.2013853e-01	
 -1.1931574e-01   7.1418479e-02	  2.7602372e-02   5.5111301e-01	
 -6.1623651e-01  -1.2714104e+00	  3.1528488e-02   6.5970822e-01	
  3.3569681e-02   0.0000000e+00	  8.4087749e-01   0.0000000e+00	
 -2.5516042e-01   8.7337808e-02	 -3.7502117e-01   1.6092073e-02	
  3.7976222e-01   3.4294180e-01	 -6.7540199e-02   3.2119920e-01	
  1.9048129e-01   1.7491158e-02	 -5.0814242e-01  -4.0115274e-01	
 -8.2646569e-02   7.7793368e-02	  6.5727969e-01  -7.4634692e-02	
 -2.6711544e-01   2.6794552e-01	 -4.6181313e-02  -6.8199181e-02	
  1.1766885e-01   1.0229673e+00	 -5.1173215e-02   1.3203577e-02	
  9.5183034e-01  -1.7248552e-01	  1.6890045e-01  -4.0914603e-01	
 -4.9607818e-02   0.0000000e+00	 -4.4237893e-01   0.0000000e+00	
 -3.4897876e-01  -4.5492502e-01	  5.9220445e-01   2.4329521e-01	
 -5.9263844e-01   1.5416721e-01	  1.7914460e-01   1.4470057e-01	
  1.0520929e-01   2.0388739e-01	 -3.6539830e-01   2.3829424e-01	
 -1.3698293e-01  -1.1209394e-01	 -5.3463286e-01  -2.0009098e-01	
 -3.7260763e-02  -2.2512491e-01	  2.3892527e-01   5.5882257e-02	
 -6.8640047e-02   8.6971641e-02	 -2.6937893e-01  -3.3069299e-01	
 -4.6672441e-02   6.5720670e-01	 -1.3128899e-01  -3.0534781e-01	
  6.7479179e-01   8.9703887e-01	  5.1912745e-02  -5.7181835e-01	
 -2.4964361e-02   0.0000000e+00	 -4.0752613e-01   0.0000000e+00	
  1.3001735e-01  -2.7614409e-01	 -2.7498446e-02  -4.6345316e-01	
 -1.5214441e-01   6.3425147e-02	  1.1914015e-01   1.1991802e-03	
 -9.9378255e-03   1.2449809e-01	  3.7252518e-01   6.1175899e-03	
