2891 0.00048484 1.07054
2799.22 0.000531723 1.06651
2655.67 0.000562084 1.06572
2512.12 0.000571402 1.06605
2368.57 0.000567214 1.06691
2225.02 0.000554751 1.06792
2081.47 0.000538805 1.06875
1937.92 0.000523552 1.06909
1794.37 0.000511258 1.06867
1650.82 0.000502477 1.0672
1507.27 0.000496913 1.06442
1363.72 0.000495303 1.06013
1220.17 0.000492617 1.05461
1076.62 0.000485269 1.04784
933.075 0.000456598 1.04059
789.525 0.000395772 1.0344
645.975 0.000135162 1.0518
502.425 -0.000632588 1.09017
358.875 -0.00110626 1.0786
215.325 -0.00175598 1.06075
100.5 -0.00235962 1.04964
71.775 -0.00237422 1.04952
0 -0.00240054 1.04945
